target,opinion,polarity,tweet_label
look,good,positive,negative
bill,anti,negative,neutral
charger,bad,negative,negative
stanley,negative,negative,neutral
piece,cool,positive,neutral
siri,well,positive,positive
call,good,positive,neutral
sign,bad,negative,neutral
point,great,positive,positive
moment,free,positive,neutral
phone,good,positive,negative
charger,ready,positive,negative
version,easy,positive,negative
apple,good,positive,neutral
upgd,free,positive,negative
consensus,top,positive,neutral
jobs,proud,positive,positive
chart,weak,negative,neutral
place,well,positive,negative
leader,amazing,positive,positive
attack,terrorist,negative,neutral
iupdate,ironic,negative,negative
thing,offensive,negative,negative
mum,dire,negative,negative
dude,poor,negative,negative
fuck,huge,positive,negative
updates,free,positive,neutral
website,free,positive,neutral
app,good,positive,neutral
reason,odd,negative,negative
integration,true,positive,negative
vacation,bad,negative,negative
iphone6,certain,positive,neutral
aapl,low,negative,neutral
news,great,positive,positive
iphone,true,positive,negative
service,great,positive,positive
prediction,cheery,positive,neutral
card,faulty,negative,neutral
plane,amazing,positive,positive
job,amazing,positive,positive
pono,confused,negative,positive
drive,hard,negative,positive
trade,fair,positive,negative
time,perfect,positive,negative
store,cool,positive,positive
hour,free,positive,positive
drum,bad,negative,neutral
charger,terrible,negative,negative
fix,terrible,negative,negative
name,good,positive,neutral
chef,original,positive,positive
updates,free,positive,neutral
website,free,positive,neutral
day,bad,negative,neutral
tablet,good,positive,positive
search,criminal,negative,negative
idea,good,positive,negative
idea,good,positive,negative
stb,crappy,negative,neutral
month,bad,negative,neutral
app,gorgeous,positive,positive
design,surprising,positive,positive
visual,amazing,positive,positive
packaging,horrible,negative,negative
applesuport,wrong,negative,negative
one,free,positive,negative
alarm,crappy,negative,negative
bill,anti,negative,neutral
service,best,positive,positive
sale,huge,positive,positive
service,unacceptable,negative,negative
iphone,wtf,negative,negative
pay,secure,positive,neutral
company,innovative,positive,negative
charger,horrendous,negative,negative
updates,free,positive,neutral
website,free,positive,neutral
design,strong,positive,neutral
stock,important,positive,neutral
service,great,positive,positive
time,good,positive,neutral
customer,die,negative,negative
customer,hard,negative,negative
equalizer,great,positive,neutral
buddy,nice,positive,neutral
wth,interesting,positive,neutral
apple,worth,positive,neutral
show,amazing,positive,positive
idea,bad,negative,neutral
screen,broken,negative,neutral
idea,disruptive,negative,negative
condition,safe,positive,positive
customer,die,negative,negative
customer,hard,negative,negative
govt,broke,negative,negative
govt,free,positive,negative
week,dead,negative,negative
fanaticism,great,positive,negative
dislike,great,positive,negative
thing,great,positive,positive
grief,good,positive,negative
sort,piss,negative,negative
ass,weak,negative,negative
apple,rotten,negative,negative
work,good,positive,positive
trackpad,fine,positive,negative
bro,mad,negative,negative
rumor,insane,negative,neutral
time,limited,negative,positive
price,low,negative,positive
achievement,great,positive,positive
twitter,damn,negative,negative
game,top,positive,neutral
5s,great,positive,negative
rep,innovative,positive,neutral
simplicity,hard,negative,neutral
company,valuable,positive,neutral
support,nice,positive,positive
fixit,annoying,negative,negative
solution,advanced,positive,neutral
updates,free,positive,neutral
website,free,positive,neutral
charge,trust,positive,neutral
authority,creative,positive,neutral
game,great,positive,neutral
job,great,positive,neutral
cup,nice,positive,neutral
thing,offensive,negative,negative
user,happy,positive,negative
steve,dead,negative,negative
service,great,positive,positive
workshop,free,positive,positive
product,good,positive,positive
music,disgusting,negative,negative
capitalist,criminal,negative,negative
stocks,free,positive,neutral
itune,awful,negative,negative
life,good,positive,negative
lady,nice,positive,positive
comment,ridiculous,negative,negative
computer,defective,negative,positive
bill,anti,negative,neutral
cost,low,negative,negative
business,great,positive,neutral
relation,good,positive,negative
street,crazy,negative,neutral
stock,important,positive,neutral
tactic,fair,positive,negative
tactic,competitive,positive,negative
product,nifty,positive,negative
laptop,dead,negative,neutral
service,amazing,positive,positive
good,exciting,positive,positive
apple,worth,positive,positive
idea,innovative,positive,positive
stock,important,positive,neutral
device,great,positive,neutral
expert,anti,negative,neutral
expert,trust,positive,neutral
app,top,positive,neutral
model,wrong,negative,neutral
man,broken,negative,negative
apps,good,positive,neutral
guest,good,positive,neutral
service,outstanding,positive,positive
indicator,excellent,positive,neutral
battery,well,positive,negative
shit,bad,negative,negative
stock,important,positive,neutral
name,good,positive,neutral
fi,low,negative,negative
use,well,positive,negative
app,top,positive,positive
service,fantastic,positive,positive
starwars,stupid,negative,negative
starwars,lame,negative,negative
commercials,bad,negative,negative
piece,nice,positive,negative
job,great,positive,negative
mobile,good,positive,positive
aapl,huge,positive,neutral
app,certain,positive,negative
customer,loyal,positive,neutral
brand,good,positive,neutral
support,ridiculous,negative,negative
service,amazing,positive,positive
computer,immune,positive,neutral
stocks,free,positive,neutral
job,great,positive,negative
ipad,useful,positive,negative
